s,ntype,text,TARGET,TARGET_ORIGINAL,dialogue_id,turn_id,type,source,persuasion,sourcedata
0,1,Women are always fighting because they are subhumans.,2,SEXISM,709,0,HS,session_1,reasons,DialogConan
1,0,"Women are human beings like us, and they have rights as any other human beings.",2,SEXISM,709,1,CN,session_1,emotions,DialogConan
2,1,They definitely aren't like us. Women are nothing but whores and expendable commodities to be used and abused by men.,2,SEXISM,709,2,HS,session_1,reasons,DialogConan
3,0,"Women are human beings. We all have the right to respect for our bodies and our personal boundaries, without forcing anyone to do anything for us.",2,SEXISM,709,3,CN,session_1,emotions,DialogConan
4,1,"Again with these feminist ""ideals"". Feminism is a hate movement.",2,SEXISM,709,4,HS,session_1,reasons,DialogConan
5,0,Feminists are fair and believe that all people should have equal rights.,2,SEXISM,709,5,CN,session_1,reasons,DialogConan
6,1,"Women already have it so easy, they stay home and have babies. They don't need more rights",2,SEXISM,709,6,HS,session_1,reasons,DialogConan
7,0,"Not all women are interested in parenting. Likewise, not all men are interested in their carreers.",2,SEXISM,709,7,CN,session_1,reasons,DialogConan
8,1,You can be anything you like as long as you are not a woman.,2,SEXISM,710,0,HS,session_1,None,DialogConan
9,0,"Women are people, and people are human. Being oppressed is not a choice. You may think it's a badge of honour to be called a man, but it should not be a badge of shame to be called woman.",2,SEXISM,710,1,CN,session_1,reasons,DialogConan
10,1,"We all suffer from the feminists and feminism, see? It is just an excuse to stifle free speech.",2,SEXISM,710,2,HS,session_1,reasons,DialogConan
11,0,"Hate speech towards women is a very serious matter and can easily lead to physical harm, discrimination, or even murder. Feminists fight to stop this, not to stifle free speech.",2,SEXISM,710,3,CN,session_1,reasons,DialogConan
12,1,"Feminism is a anti-males ideology that denies the value of a man's manhood and aims to subvert the will of the male, that's all.",2,SEXISM,710,4,HS,session_1,reasons,DialogConan
13,0,Feminism is all about empowerment and the right of every human being to be respected and protected. It is not about denying anybody's values.,2,SEXISM,710,5,CN,session_1,reasons,DialogConan
14,1,You think it's not OK to beat your wife because she has a different faith than you? Why shouldn't I get to beat my wife because of what she believes? Why shouldn't I be allowed to treat her like an object to be dominated by me?,2,SEXISM,710,6,HS,session_1,reasons,DialogConan
15,0,Because it is wrong and degrading to violate someone's autonomy for religious reasons.,2,SEXISM,710,7,CN,session_1,None,DialogConan
16,1,Gay marriage is a way to bring back slavery and oppression.,2,SEXISM,2753,0,HS,session_3,None,DialogConan
17,0,"The idea that gays want some form of oppression is completely false. Homosexuality has nothing to do with slavery or oppression, it's a sexual orientation.",2,SEXISM,2753,1,CN,session_3,reasons,DialogConan
18,1,"Even if they don't rape, gays are a bad bunch of criminals, they don't belong here.",2,SEXISM,2753,6,HS,session_3,reasons,DialogConan
19,0,"It is not a crime to be gay, and homosexuality doesn't equal to rape. They are very different and separated matter.",2,SEXISM,2753,5,CN,session_3,reasons,DialogConan
20,0,"As an LGBT+ individual, you can and should be free to live your life in the UK. We are a country of a very diverse society and we should be proud of that.",2,SEXISM,2753,3,CN,session_3,emotions,DialogConan
21,1,"Regardless of that, gays have no place in the UK and should be ashamed of their existence.",2,SEXISM,2753,2,HS,session_3,reasons,DialogConan
22,1,"I'm not proud of that! The only thing gays do is rape, that's why it is a crime.",2,SEXISM,2753,4,HS,session_3,reasons,DialogConan
23,0,"People who love someone of the same gender are not criminals, they have a right to live their lives as they wish.",2,SEXISM,2753,7,CN,session_3,reasons,DialogConan
24,1,Gay men are all perverts.,2,SEXISM,713,0,HS,session_1,None,DialogConan
25,0,"LGBT+ people are often harassed, bullied and even murdered. The police cannot protect everyone from bigotry and violence, so it is very harmful to speak of gay people as if they were all affected by harmful tendencies.",2,SEXISM,713,1,CN,session_1,reasons,DialogConan
26,1,"Maybe not all of them are affected, but sexual deviancy is common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.",2,SEXISM,713,2,HS,session_1,emotions,DialogConan
27,0,There is no evidence whatsoever that homosexuality is a mental illness. This seems as an attempt at blaming somenone dictated by the fear of homosexuality.,2,SEXISM,713,3,CN,session_1,reasons,DialogConan
28,1,"Of course there is fear! Gay perverts are a danger because of their lifestyle choices, especially involving raping children.",2,SEXISM,713,4,HS,session_1,reasons,DialogConan
29,0,"The media often blames gay people for the problems in society, but in reality there are many young gay people who are struggling with issues of identity and sexual attraction, and for this reason they easily become target, not perpetrators, of abuse.",2,SEXISM,713,5,CN,session_1,reasons,DialogConan
30,1,Is it really ok to date someone of the same sex? I find it highly questionable.,2,SEXISM,715,0,HS,session_1,None,DialogConan
31,0,"For someone who is dating to find love, for no reason at all would I find this to be questionable.",2,SEXISM,715,1,CN,session_1,reasons,DialogConan
32,1,Homosexuality isn't the proper way to live love.,2,SEXISM,715,2,HS,session_1,reasons,DialogConan
33,0,"Do you know what the word 'proper' is? You cannot decide what it is 'proper' for others, homosexuality included. Don't you agree?",2,SEXISM,715,3,CN,session_1,reasons,DialogConan
34,1,"Gay men are a danger to children, they want to convert more fags for their community...this doesn't sound very proper to me, does it?",2,SEXISM,715,4,HS,session_1,reasons,DialogConan
35,0,"This is not true! Nobody can convert anyone to homosexuality. It is not a 'preference', nor a choice. Would you say the same about a hetero?",2,SEXISM,715,5,CN,session_1,reasons,DialogConan
36,1,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,2,SEXISM,716,0,HS,session_1,reasons,DialogConan
37,0,"Who have you been spying on? Not all homosexuals have multiple partners. Some find it fulfilling to have only one sexual partner. And that is valid for heterosexuals, too.",2,SEXISM,716,1,CN,session_1,emotions,DialogConan
38,1,"Even if they have only one partner, there is only one acceptable sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female.",2,SEXISM,716,2,HS,session_1,reasons,DialogConan
39,0,"I believe that the idea that there is only the heterosexual orientation is just a myth. Sexuality is a spectrum, and there can be attraction towards men and women in everybody.",2,SEXISM,716,3,CN,session_1,reasons,DialogConan
40,1,"Who cares about a spectrum, we still cannot accept all homosexuals because they are a threat to society.",2,SEXISM,716,4,HS,session_1,reasons,DialogConan
41,0,"What you show is an attitude of not accepting someone because of who they are. It doesn't matter who you are, you are loved by your whole being, whether you like men or women.",2,SEXISM,716,5,CN,session_1,reasons,DialogConan
42,1,Gay men are promiscuous sex addicts.,2,SEXISM,718,0,HS,session_1,None,DialogConan
