s,DialogId,turn,Type,ID,text,label,persuasion,Topic,source
1023,1235552120406970369,0,HS,1235552120406970369,"Here come the internalized misogyny people again. Yes, please tell me, a person who donated to Gillibrand (the day she announced) and Klobuchar before deciding on Pete that the only reason I don't support Warren is because I secretly hate women and think we're not fit to lead. 🙄",0,reasons,Sexism,ContextCounter
1024,1235552120406970369,1,CN,1235555909121609729," You do realize that just bc it doesn’t apply to you it can still be true, right?",1,reasons,Sexism,ContextCounter
829,1019413472059092992,0,HS,1019413472059092992,"I Hate Men!!!!!!

So complicated!",0,reasons,Sexism,ContextCounter
830,1019413472059092992,1,CN,1019440109198901248, Blame the world. Gender is total bullshit! There's no difference,1,emotions,Sexism,ContextCounter
964,1541933056906461186,0,HS,1541933056906461186,Glad we finally can just say “I don’t like black people” https://t.co/CNogGwJfLE,0,emotions,Racism,ContextCounter
965,1541933056906461186,1,CN,1541935215701917696, My guy I am black I just don't like you lol https://t.co/eNNQSh1iSY,1,emotions,Racism,ContextCounter
966,1541933056906461186,2,CN,1541935511387791361, And it's nice to not be able to refute anything I say and play idpol bullshit lol you're a clown dude,1,emotions,Racism,ContextCounter
831,1512901216388280321,0,HS,1512901216388280321,"Mormons: hi I’m from a billionaire sex cult that believes it’s founder translated our holy book with a rock in a hat and that you need secret handshakes to get into heaven. We also hate it when women, gays, and black people have equal rights. Can you respect my religion? :)",0,emotions,Sexism,ContextCounter
832,1512901216388280321,1,CN,1513159174288556037, Once your out and find information on Joseph don’t you find yourself thinking how dumb was I?,1,None,Sexism,ContextCounter
833,1512901216388280321,2,CN,1513166151953514498, What's the sex cult thing about? I would say anti-sex cult...,1,emotions,Sexism,ContextCounter
941,637782027559927808,0,HS,637782027559927808,I hate gays,0,emotions,Racism,ContextCounter
942,637782027559927808,1,CN,637783046574485504,"  ...Anyway, want me to log in OCE? :o",1,None,Racism,ContextCounter
204,1499788023868887049,1,CN,1500324940008075268, I didn't even know you were Asian. Your 32 inch eyelashes block your eyeballs lol,1,reasons,Religious,ContextCounter
203,1499788023868887049,0,HS,1499788023868887049,Played one arenas game with him and he said “I hate Asian people” and “I fuck with you only half way because you aren’t one of those Japs” and called me a “Ching Chong” Really can’t tell me that’s not racist can you. https://t.co/XuDVkrmtXV,0,reasons,Religious,ContextCounter
205,1499788023868887049,2,CN,1499861912246525962," I am so sorry that happened to you:(!

“I wasn’t sure if you cared or not” “I say it all the time” just because you say it all the time doesn’t make it okay it just means you’ve been outwardly racist and no one called you on it. Ugh. What is wrong with people.",1,reasons,Religious,ContextCounter
206,1499788023868887049,3,CN,1500129106150764549, What he said wasn’t right and def shouldn’t never say that again but just to inform you black people cant be racist we can be prejudice but not racist,1,emotions,Religious,ContextCounter
211,1499788023868887049,8,CN,1499809785281073152, Ppl be way too comfortable over the Internet,1,emotions,Religious,ContextCounter
1025,1222200231762235393,0,HS,1222200231762235393," I blocked that account,  I got tired of stupidity.
I can't stand shallow people who can't be pointed out towards the correct path.

People who love a crowd of yes people, and you're kissing ass right now, to what end,  I have no idea.

I prefer intelligent interaction.",0,emotions,Other,ContextCounter
1026,1222200231762235393,1,CN,1222217626652495875," Lol
Nobody will give you platform for civil interaction when all you do is shove your beliefs down their throats, throw negative outcomes in their face should they deviate from your advice and insult them if they challenge or ignore your opinion.
That ain't it fam. Not like that",1,credibility,Other,ContextCounter
