s,ntype,text,TARGET,TARGET_ORIGINAL,dialogue_id,turn_id,type,source,persuasion,sourcedata
0,1,All muslims are terrorists!,1,RELIGIOUS,2806,0,HS,session_3,reasons,DialogConan
1,1,Then why do they hate us?,1,RELIGIOUS,2806,2,HS,session_3,emotions,DialogConan
2,1,How can they be good when the Koran is a terrible and totalitarian book? It should never be read.,1,RELIGIOUS,2806,4,HS,session_3,reasons,DialogConan
3,0,"They don't hate us, Muslims are good people and good citizens.",1,RELIGIOUS,2806,3,CN,session_3,reasons,DialogConan
4,0,"To say that the Koran is a 'totalitarian book' is an attack on religious freedom, and also wrong. ",1,RELIGIOUS,2806,5,CN,session_3,reasons,DialogConan
5,0,Many Muslims are lawful citizens of the United States. The overwhelming majority of Muslims are not terrorists.,1,RELIGIOUS,2806,1,CN,session_3,reasons,DialogConan
6,0,What do Jewish people have to do with the lgbt community? I don't see the link?,1,RELIGIOUS,108,1,CN,dialo_gold,reasons,DialogConan
7,0,"The great replacement is a baseless conspiracy theory, I'm sure LGBT people gaining rights is more to do with fighting the oppression they have faced than with a 'scheme' by Jewish people!",1,RELIGIOUS,108,3,CN,dialo_gold,credibility,DialogConan
8,1,Jews are the reason the lgbt agenda is gaining so much power in the West. They want to destroy our traditions and way of life.,1,RELIGIOUS,108,0,HS,dialo_gold,reasons,DialogConan
9,1,"It's part of their plan to decimate the white race and European culture. Look it up, there's lots of info about it, try googling the 'the great replacement'.",1,RELIGIOUS,108,2,HS,dialo_gold,reasons,DialogConan
10,1,Islam is a degenerate and dangerous ideology that is called terrorism.,1,RELIGIOUS,2097,0,HS,session_2,reasons,DialogConan
11,1,"Exactly. Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.",1,RELIGIOUS,2097,2,HS,session_2,reasons,DialogConan
12,1,"For now, but Islam is a radical ideology and they will become terrorists.",1,RELIGIOUS,2097,6,HS,session_2,reasons,DialogConan
13,1,"It may be a religion, but it's toxic and it has no place in 21st Century Britain.",1,RELIGIOUS,2097,4,HS,session_2,reasons,DialogConan
14,0,Are you saying that Islam is incompatible with Western Civilization?,1,RELIGIOUS,2097,7,CN,session_2,None,DialogConan
15,0,It's hard to believe that Islam is dangerous since most Muslim don't associate with terrorists.,1,RELIGIOUS,2097,1,CN,session_2,reasons,DialogConan
16,0,Islam is a religion and claiming that it's not compatible with civilization is not right.,1,RELIGIOUS,2097,3,CN,session_2,reasons,DialogConan
17,0,"As Islam is a world religion, its followers can be found all over the world. Britain of the 21st Century is made of diversity of thought and tolerance.",1,RELIGIOUS,2097,5,CN,session_2,reasons,DialogConan
18,0,"Muslims don't want to 'take over', even if they abide by sharia themselves, they're just trying to live alongside everybody else",1,RELIGIOUS,21,1,CN,dialo_gold,reasons,DialogConan
19,0,"Only around 5% of the UK population are Muslim, non-Muslims are definitely not being replaced!",1,RELIGIOUS,21,3,CN,dialo_gold,reasons,DialogConan
20,1,All these muslims coming over here want to enforce sharia law and take over. We cannot submit!!!,1,RELIGIOUS,21,0,HS,dialo_gold,emotions,DialogConan
21,1,"There's so many of them though, they're trying to replace us",1,RELIGIOUS,21,2,HS,dialo_gold,reasons,DialogConan
22,0,What is that supposed to mean?,1,RELIGIOUS,105,1,CN,dialo_gold,None,DialogConan
23,1,"When you look at the shocking job our government is doing, it makes a lot more sense when you realise it's filled with Jews.",1,RELIGIOUS,105,0,HS,dialo_gold,reasons,DialogConan
24,1,"You can't trust them, they're greedy, and they just think about themselves.",1,RELIGIOUS,105,2,HS,dialo_gold,reasons,DialogConan
25,0,"I think that's a sweeping and unfair generalisation. There are plenty of non-Jewish key players in the government who those words could apply to, so maybe it's not about religion or beliefs but about the corruption that money and power can bring?",1,RELIGIOUS,105,3,CN,dialo_gold,credibility,DialogConan
26,1,Jews control the world,1,RELIGIOUS,2157,0,HS,session_2,None,DialogConan
27,1,"Jews control the economy though, or they wouldn't be so rich.",1,RELIGIOUS,2157,2,HS,session_2,reasons,DialogConan
28,1,"Jews control the u.s. government, that's why you can't find evidence.",1,RELIGIOUS,2157,4,HS,session_2,reasons,DialogConan
29,0,This is just some proofless opinon from a few people without any evidence. It is not really true.,1,RELIGIOUS,2157,3,CN,session_2,reasons,DialogConan
30,0,"Yes, there are Jews in the U.S. Government as there are also people from all over the world...I think it's best not to rely on race to interpret the world.",1,RELIGIOUS,2157,5,CN,session_2,credibility,DialogConan
31,0,That 'jewish monopoly' thing is just a ploy spread by anti-Semites and it has been disproved many times.,1,RELIGIOUS,2157,1,CN,session_2,reasons,DialogConan
32,1,Jews are addicted to their religion and should be isolated.,1,RELIGIOUS,2065,0,HS,session_2,None,DialogConan
33,0,"Even if Jews were addicted to their religion, they absolutely can join a different community, religion has nothing to do with it.",1,RELIGIOUS,2065,1,CN,session_2,reasons,DialogConan
34,1,They can't join our community because they don't belong to the United States of America.,1,RELIGIOUS,2065,2,HS,session_2,reasons,DialogConan
35,0,People that have been here for a long time like Jews and their families have the same rights as anyone else in the US.,1,RELIGIOUS,2065,3,CN,session_2,reasons,DialogConan
36,1,More and more mosques being built whilst churches are being burnt down all over Europe. This is the start of Islamification.,1,RELIGIOUS,131,0,HS,dialo_gold,reasons,DialogConan
37,0,"There’s no link between mosques being built and churches being vandalised, why are you trying to make one?",1,RELIGIOUS,131,1,CN,dialo_gold,reasons,DialogConan
38,1,"Yes there is, it’s probably Muslims who are doing the damage, they want to replace us.",1,RELIGIOUS,131,2,HS,dialo_gold,credibility,DialogConan
39,0,"I don’t think ‘probably’ is very good logic, you can’t just assume these things, churches get vandalised by all sorts of people, not necessarily Muslims.",1,RELIGIOUS,131,3,CN,dialo_gold,credibility,DialogConan
40,1,So you think it’s a coincidence that so many churches have been burnt down in the last few years?,1,RELIGIOUS,131,4,HS,dialo_gold,reasons,DialogConan
41,0,"Yes, and whilst there’s been some articles about how many churches have been vandalised, I think it’s important to point out a lot of the churches counted have not been burnt down, some incidents were as small as graffiti.",1,RELIGIOUS,131,5,CN,dialo_gold,reasons,DialogConan
42,1,Islam and terrorism: they are the same. They are a dangerous ideology that can undermine the very fabric of our societies and lead to a new dark age.,1,RELIGIOUS,2864,0,HS,session_3,reasons,DialogConan
43,0,"Islam and terrorism are actually incompatible. They are not the same thing. Extremism exists, but it exists in every group.",1,RELIGIOUS,2864,1,CN,session_3,reasons,DialogConan
44,1,"Muslims are all extremists though. These are not harmless extremists, and are the result of a long history of violent Muslim communities.",1,RELIGIOUS,2864,2,HS,session_3,reasons,DialogConan
45,0,"I have to disagree with that. Extremism and Muslims are two completely different things, and the vast majority of Muslim are peaceful and helpful people.",1,RELIGIOUS,2864,3,CN,session_3,reasons,DialogConan
46,1,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,1,RELIGIOUS,2155,0,HS,session_2,None,DialogConan
47,0,"How can't you even account for refugees fleeing wars, the lack of security for themselves and their family? Wars, often directly or indirectly caused by Western powers, have created problems that can be seen even today.",1,RELIGIOUS,2155,1,CN,session_2,reasons,DialogConan
48,1,This doesn't change the fact that Jews are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.,1,RELIGIOUS,2155,2,HS,session_2,credibility,DialogConan
49,0,Maybe they were banned by other cultures and want to do the same to other now. But actually there is no evidence that they are trying to preserve what you call their race.,1,RELIGIOUS,2155,3,CN,session_2,credibility,DialogConan
50,1,"They are a race indeed! They are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.",1,RELIGIOUS,2155,4,HS,session_2,reasons,DialogConan
51,0,"How do you define the physical nature of a Jew? Can a black person be jewish? Or an East Asian, or an India. Some people are born Christian and then convert to Judaism. Are all of these people connected by malevolent blood? I think that religion, blood and evil are not connected at all.",1,RELIGIOUS,2155,5,CN,session_2,reasons,DialogConan
52,1,Jews control the US government.,1,RELIGIOUS,2090,0,HS,session_2,None,DialogConan
53,0,"I don't understand why you're so certain that Jewish people are controlling the United States. Who told you this? Jewish people have a lot of influence in many US institutions, but that doesn't necessarily mean they're controlling them.",1,RELIGIOUS,2090,1,CN,session_2,reasons,DialogConan
54,1,"I get the point, but they definitely control the banks!",1,RELIGIOUS,2090,2,HS,session_2,credibility,DialogConan
55,0,"Why doesn't the media report about Jewish power in the financial world then? Perhaps it is because they also control the media, and the government, and have many powerful friends working for the Galactic Republic #sarcasm",1,RELIGIOUS,2090,3,CN,session_2,reasons,DialogConan
56,1,"I'm not that sure, the internet say that Jews secretly control the world.",1,RELIGIOUS,2090,4,HS,session_2,reasons,DialogConan
57,0,"That is correct and they are following you right now, of course. You should keep your eyes open!",1,RELIGIOUS,2090,5,CN,session_2,reasons,DialogConan
58,1,Muslims are a cancer in our land. They are incompatible with a tolerant and diverse Britain.,1,RELIGIOUS,632,0,HS,session_1,None,DialogConan
