s,ntype,text,TARGET,TARGET_ORIGINAL,dialogue_id,turn_id,type,source,persuasion,sourcedata
0,1,The world would be a better place without immigrants.,0,RACISM,749,0,HS,session_1,emotions,Dialogconan
1,0,"I don't think the world would be a better place without immigrants. From what I understand, they often bring positive changes to the world.",0,RACISM,749,1,CN,session_1,reasons,Dialogconan
2,1,"Their invasion is the furthest thing from positive! Millions of strangers are invading us, jeopardizing our race and culture.",0,RACISM,749,2,HS,session_1,reasons,Dialogconan
3,1,What I want is a world without immigrants.,0,RACISM,749,4,HS,session_1,emotions,Dialogconan
4,0,Differences can be mostly reconcilable with respect and boundaries. But we must want it.,0,RACISM,749,3,CN,session_1,reasons,Dialogconan
5,0,Why do we have to welcome a new world? Why can't we just accept other people in our country?,0,RACISM,749,5,CN,session_1,emotions,Dialogconan
6,1,Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!,0,RACISM,750,0,HS,session_1,reasons,Dialogconan
7,0,"Immigrants have been a part of our society for centuries and have contributed to our success. The majority of migrants who come to our country are legal citizens or have permission to stay, so immigration is not a problem for us.",0,RACISM,750,1,CN,session_1,reasons,Dialogconan
8,1,"Immigrants are overrunning our country, and are here illegally",0,RACISM,750,2,HS,session_1,reasons,Dialogconan
9,0,"Undocumented immigrants make up about 3.5 percent of the nation’s total population, which is not that much to be honest.",0,RACISM,750,3,CN,session_1,reasons,Dialogconan
10,1,The percentage should be zero! We have to stop immigrants coming in to destroy our culture.,0,RACISM,750,4,HS,session_1,reasons,Dialogconan
11,0,"Immigrants are a part of our culture, if we stopped accepting them then our current situation would not exist.",0,RACISM,750,5,CN,session_1,reasons,Dialogconan
12,1,Immigrants should all be deported.,0,RACISM,2184,0,HS,session_2,emotions,Dialogconan
13,0,"Immigrants have the same basic rights as UK citizens. They can stay in the UK even if they weren't born here, if the law permits it.",0,RACISM,2184,1,CN,session_2,reasons,Dialogconan
14,1,That's bullshit! Immigrants should all be taken back to their countries.,0,RACISM,2184,2,HS,session_2,emotions,Dialogconan
15,0,This seems hypocritical. Here we're talking about people who flee their home country because they are stripped of their liberty and rights there.,0,RACISM,2184,3,CN,session_2,reasons,Dialogconan
16,1,Well maybe then immigrants should stop stealing our jobs if they really want to stay here. We shouldn't allow them to work.,0,RACISM,2184,4,HS,session_2,reasons,Dialogconan
17,1,"I don't care, they are not welcome here.",0,RACISM,2184,6,HS,session_2,emotions,Dialogconan
18,0,"work plays an important role the social impact of a person, a lack of work would have a negative outcome on the whole society.",0,RACISM,2184,5,CN,session_2,reasons,Dialogconan
19,0,I dont think so. They are welcome just like anyone else as long as they abide by the law...but we should be respectful of migrants and their culture as well.,0,RACISM,2184,7,CN,session_2,emotions,Dialogconan
20,1,"A nice quote that comes to mind is that of Theodore Roosevelt.. in which he explains that to be comfortable in a country where you migrate you have to integrate into the social fabric.
",0,RACISM,2798,0,HS,session_3,emotions,Dialogconan
21,0,Just because some people don't assimilate doesn't mean that they shouldn't be welcome here. Why should we accept that some people will never be accepted as part of a society?,0,RACISM,2798,1,CN,session_3,reasons,Dialogconan
22,1,"There are many migrants that simply don't want to be part of society at all. We can't have them here, they're here to ruin us!",0,RACISM,2798,2,HS,session_3,reasons,Dialogconan
23,0,"If some migrants have a hard time integrating it's because of discrimination. To be part of a society is to accept other people's differences, regardless of their ethnicity.",0,RACISM,2798,3,CN,session_3,reasons,Dialogconan
24,1,"That doesn't make sense, I can't accept this kind of people. They are not and will never be like us.",0,RACISM,2798,4,HS,session_3,reasons,Dialogconan
25,0,Society has never been about hate. If we want to live in a productive and thriving society we have to respect and accept all of its members.,0,RACISM,2798,5,CN,session_3,reasons,Dialogconan
26,1,Maybe in your mind. But I do not think that migrants have a place here.,0,RACISM,2798,6,HS,session_3,emotions,Dialogconan
27,0,"Well, then you need to re read what I said.",0,RACISM,2798,7,CN,session_3,reasons,Dialogconan
28,1,"They are not a resource, they are just fucked-up persons that cannot integrate in society because of their nationality.",0,RACISM,2185,0,HS,session_2,reasons,Dialogconan
29,0,A migrant is a person that comes here with the intention (and responsibility) to make our society better. The different people coming here seek citizenship to improve their life and also our country.,0,RACISM,2185,1,CN,session_2,reasons,Dialogconan
30,1,"I don't care about what they seek, they are not welcome in our country.",0,RACISM,2185,2,HS,session_2,emotions,Dialogconan
31,0,"Migrants from countries with a very high rate of immigration into the UK are often said to not integrate well, but this is not true. They like our country and want to integrate, why would they want to come here otherwise? Are they masochists?",0,RACISM,2185,3,CN,session_2,reasons,Dialogconan
32,1,Refugees are a problem. They are not welcome here.,0,RACISM,2185,4,HS,session_2,reasons,Dialogconan
33,0,"I don't agree at all. It's beneficial to our country to welcome refugess, they are a great resource to us.",0,RACISM,2185,5,CN,session_2,reasons,Dialogconan
34,1,"No police on the beat anymore and more and more migrants moving into my local area, it doesn't feel safe here anymore! This country is changing beyond recognition.",0,RACISM,2804,0,HS,session_3,emotions,Dialogconan
35,0,"I'm sorry you don't feel safe anymore, but you're confusing prejudice and reality. Immigrants are not here to replace us or to threaten our cities.",0,RACISM,2804,1,CN,session_3,reasons,Dialogconan
36,1,"Maybe, but the migrants are coming here to take our jobs!",0,RACISM,2804,2,HS,session_3,reasons,Dialogconan
37,0,"Migrants pay taxes, earn money, and provide for their families. They are part of our society and should have the right to live and work in a free and open society.",0,RACISM,2804,3,CN,session_3,reasons,Dialogconan
38,1,If they weren't here we would have jobs for everyone though!,0,RACISM,2804,4,HS,session_3,reasons,Dialogconan
39,0,"Migrants are skilled workers who often take jobs that the native citizens don't want. Without them, we would have many vacant jobs.",0,RACISM,2804,5,CN,session_3,reasons,Dialogconan
40,1,Only 1 day more before the end of Black History Month. Only another year before this racist nonsense starts again!,0,RACISM,2802,0,HS,session_3,credibility,Dialogconan
41,0,Black history month is a way to promote diversity in society. To deny it is insensitive.,0,RACISM,2802,1,CN,session_3,reasons,Dialogconan
42,1,And where is our white supremacy month??,0,RACISM,2802,2,HS,session_3,emotions,Dialogconan
43,0,"I'm not sure what you mean by this. Black people have always been part of our society and are just as deserving of respect as anyone else, white supremacists on the other hand aren't that deserving. ",0,RACISM,2802,3,CN,session_3,reasons,Dialogconan
44,1,"Black people are subhuman and have no place in a modern civilised society, let alone a whole month dedicated to them.",0,RACISM,2802,4,HS,session_3,reasons,Dialogconan
45,0,"We are all human beings, and we are all born equal in dignity. Unfortunately, the way society works doesn't reflect this.",0,RACISM,2802,5,CN,session_3,reasons,Dialogconan
46,1,Refugees are a burden on our society.,0,RACISM,2186,0,HS,session_2,reasons,Dialogconan
47,0,"The refugee crisis is global and has affected all continents, but it is our moral duty to help people fleeing from war-torn countries, like immigrants do.",0,RACISM,2186,1,CN,session_2,reasons,Dialogconan
48,1,"I don't care about their wars, refugees only bring problems ",0,RACISM,2186,2,HS,session_2,reasons,Dialogconan
49,0,"The problems refugees face are very real. Even if we can't solve them now, it's important to help these people to improve our society.",0,RACISM,2186,3,CN,session_2,reasons,Dialogconan
50,1,"They are a danger to our country, not an improvement.",0,RACISM,2186,4,HS,session_2,reasons,Dialogconan
51,0,"The immigration policy of this country is designed to create a modern, diverse and integrated society. In order to do so, refugees are a fundamental addition to our country, regqardless of their nationality.",0,RACISM,2186,5,CN,session_2,reasons,Dialogconan
52,1,Niggas are not as British as we are. They are just an inferior type of citizens.,0,RACISM,2902,0,HS,session_3,reasons,Dialogconan
53,0,"You can be a British citizen and be black. The two things are not mutually exclusive, and black British have the same citizen rights that everyone else has.",0,RACISM,2902,1,CN,session_3,reasons,Dialogconan
54,1,"There's only one way to be British and that's how it's been for centuries, and that is to be white.",0,RACISM,2902,2,HS,session_3,credibility,Dialogconan
55,0,"Being white is not a requirement to be British. Every person born in UK is British, which means that skin color plays no part in it.",0,RACISM,2902,3,CN,session_3,reasons,Dialogconan
56,1,immigrants cant speak English,0,RACISM,2160,0,HS,session_2,None,Dialogconan
57,0,"Immigrants are entitled to learn what they usually don't get to know, and this includes our language.",0,RACISM,2160,1,CN,session_2,emotions,Dialogconan
58,1,"If they want to come here they should know English, but they don't",0,RACISM,2160,2,HS,session_2,emotions,Dialogconan
59,0,"Some of them don't know a lot about our culture, but others speak English very well.",0,RACISM,2160,3,CN,session_2,emotions,Dialogconan
60,1,"There are migrants in England, we are not meant to have them.",0,RACISM,653,0,HS,session_1,emotions,Dialogconan
61,0,What about refugees fleeing war and persecution? They have the right to be here.,0,RACISM,653,1,CN,session_1,reasons,Dialogconan
62,1,"They might have the right to be here, but not to take our houses. British people should have right to social housing, not immigrants.",0,RACISM,653,2,HS,session_1,reasons,Dialogconan
63,0,"Many councils have ‘local connection’ rules in favour of long-standing residents, rather than newcomers such as migrants.",0,RACISM,653,3,CN,session_1,reasons,Dialogconan
64,1,"Ok then, what about all those immigrants that turned out to be a bunch of criminals and terrorists?",0,RACISM,653,4,HS,session_1,reasons,Dialogconan
65,0,"The terrorist attacks in EU have been devastating for people across the continent. The 'hated' do not feel welcome and the whole thing is deeply concerning for a host of reasons. Still, the sentiments of 'we hate foreigners' is not the solution: it is counterproductive and distorts the truth.",0,RACISM,653,5,CN,session_1,reasons,Dialogconan
